title:震惊！某科学的超电磁炮竟抄袭我国上世纪宣传册 	 firstAuthor:Alex研 	 firstTime:2-11 	 content:震惊！ 某 科 学 的 超 电 磁 炮 竟 抄 袭 我 国 上 世 纪 宣 传 册 	 number:58 	 lastAuthor:落落桃夭 	 lastTime:14:02 
title:如果你到了魔禁世界你是想去学魔法还是想学超能力？如果说超能力 	 firstAuthor:绛紫Koi 	 firstTime:2-12 	 content:如果你到了魔禁世界你是想去学魔法还是想学超能力？ 如果说超能力是lv5素养判定，魔法是可以读原典不用氪命 	 number:60 	 lastAuthor:忘语 	 lastTime:14:02 
title:我炮怎么都第五了，起码也要在前三位吧 	 firstAuthor:o0孤影流... 	 firstTime:09:09 	 content:我炮怎么都第五了，起码也要在前三位吧 	 number:27 	 lastAuthor:魔兽后裔... 	 lastTime:13:59 
title:迫害一波黑子 	 firstAuthor:R1kka 	 firstTime:2-12 	 content:迫害一波黑子 	 number:8 	 lastAuthor:LGXsxx 	 lastTime:13:58 
title:超炮里的一方可以洗白吗？我想知道 	 firstAuthor: 	 firstTime:2-10 	 content:超炮里的一方可以洗白吗？我想知道 	 number:76 	 lastAuthor:joysid 	 lastTime:13:57 
title:动画党对食蜂的能力求解，我只知道食蜂对大爷和老三无效，那老二 	 firstAuthor:NT共鸣 	 firstTime:2-2 	 content:动画党对食蜂的能力求解，我只知道食蜂对大爷和老三无效，那老二和老四是怎么防御食蜂的，毕竟他们排名在食蜂前面，总归有办法的吧 	 number:193 	 lastAuthor:joysid 	 lastTime:13:54 
title:最近对老七战斗力的疑问好像很大 	 firstAuthor:寒蝉の碎片 	 firstTime:2-9 	 content:最近对老七战斗力的疑问好像很大 	 number:22 	 lastAuthor:寒蝉の碎片 	 lastTime:13:46 
title:有大佬有超炮漫画资源嘛？ 	 firstAuthor:gfhrvd 	 firstTime:2-11 	 content:有大佬有超炮漫画资源嘛？ 	 number:34 	 lastAuthor:左双螺旋 	 lastTime:13:46 
title:萌新求助，第五集里那个胖子难道能随便对常盘台的学生出手？ 	 firstAuthor:基尔伯特 	 firstTime:2-8 	 content:如果连常盘台的lv4都能随便被人掳走，甚至杀死，那学园都市不早就....这是设定的bug吗？？？ 就算暗部也不可能光天化日之下对不是暗面存在的能力者下手吧 	 number:247 	 lastAuthor:TCWand 	 lastTime:13:44 
title:请问正版的单行本在哪里买呀 	 firstAuthor:41894775 	 firstTime:2-12 	 content:请问正版的单行本在哪里买呀 	 number:6 	 lastAuthor:蜂厨势力 	 lastTime:13:44 
title:不懂就要虚心请教，追上来的这两位如何称呼？能力是什么？感谢各 	 firstAuthor:鸨鸨不高... 	 firstTime:2-8 	 content:不懂就要虚心请教，追上来的这两位如何称呼？能力是什么？感谢各位原著党大佬! 	 number:155 	 lastAuthor:蜂厨势力 	 lastTime:13:43 
title:没想到我爱的还是黑长直 	 firstAuthor:生如夏... 	 firstTime:2-7 	 content:没想到我爱的还是黑长直 	 number:29 	 lastAuthor:说好不哭 	 lastTime:13:42 
title:作为一个追超炮的动漫党，看到篡改那集心里对食蜂有偏见不行吗？ 	 firstAuthor:sky天际 	 firstTime:2-12 	 content:作为一个追超炮的动漫党，看到篡改那集心里对食蜂有偏见不行吗？毕竟这是某超炮而不是某食蜂，大部分应该都是喜欢炮姐来看的，有点情绪很正常吧？ 	 number:133 	 lastAuthor:蜂厨势力 	 lastTime:13:41 
title:自从炮t播出后：1，因为马场同学过于令人讨厌，大家都想看他死 	 firstAuthor:琴为生鸣 	 firstTime:2-10 	 content:自从炮t播出后： 1，因为马场同学过于令人讨厌，大家都想看他死，使开播以来就争议不断的魔禁3动漫的播放量上升，甚至还加了分 2，一句“初次见面，上条同学”让魔禁小说新约11受到广泛关注。 3，第三季播出又让老粉回顾前两季剧情，又是一波收视。 4，因为外传的播出，使一部分人对原著产生兴趣，带动一波流量。 某科学的超电磁炮T很形象地向我们解释了何为“一带一路”（这也在你的计划之中吗，镰池和马！） 	 number:65 	 lastAuthor:蜂厨势力 	 lastTime:13:40 
title:同样是争男人差不多头发颜色同样的还有二位数的竞争者 	 firstAuthor:文章482 	 firstTime:2-3 	 content:同样是争男人 差不多头发颜色 同样的还有二位数的竞争者 	 number:30 	 lastAuthor:蜂厨势力 	 lastTime:13:39 
title:单论武功，当麻和大蜘蛛，谁更高超一些？ 	 firstAuthor:阿译长官1 	 firstTime:2-12 	 content:单论武功，当麻和大蜘蛛，谁更高超一些？ 	 number:86 	 lastAuthor:皓腕凝霜 	 lastTime:13:28 
title:有点剧透的内容。lv6应该是达到荷鲁斯时代天使的力量吧。说不 	 firstAuthor:彰 	 firstTime:03:20 	 content:有点剧透的内容。lv6应该是达到荷鲁斯时代天使的力量吧。说不定是个人现实，个人相位的神圣守护天使，正如《法之书》所描述。而且参照新约22，可能拥有肉体的存在释放的荷鲁斯力量例如火焰剑是不会被幻想杀手消除的，漫画这里当麻的右手也是直接消失了。所以lv6理论上应该是非常强的。只不过唯一能成为lv6的是一方通行，但对一方通行来说胜负只取决于作者的笔，打不过就送挂，但未来说不定就能看到第三棵树的天使一方通行。 	 number:10 	 lastAuthor:飞蛾唉多... 	 lastTime:13:26 
title:吧里有人看过通灵王的吗？最近在看通灵王，发现他的两首op，一 	 firstAuthor:武球王武... 	 firstTime:10:52 	 content:吧里有人看过通灵王的吗？最近在看通灵王，发现他的两首op，一个over soul，一个nitherlights的风格和本部番剧的第一季op风格挺像的，主唱是林原惠美，她唱歌的嗓音和南条爱乃也很像啊。感觉如果换成本季番剧主题曲也毫无违和感。 	 number:1 	 lastAuthor:叶溪Emil 	 lastTime:13:25 
title:震惊，一向文静的初春竟向泪子爆粗口 	 firstAuthor:对蜂谈琴 	 firstTime:12:15 	 content:震惊，一向文静的初春竟向泪子爆粗口 	 number:3 	 lastAuthor:蜂厨势力 	 lastTime:13:22 
title:个人感觉超炮的op和ed普遍都比魔禁的好听，有同感的吗 	 firstAuthor:舞苼77 	 firstTime:00:27 	 content:个人感觉超炮的op和ed普遍都比魔禁的好听，有同感的吗 	 number:19 	 lastAuthor:蜂厨势力 	 lastTime:13:21 
title:【百合向】对少女的救赎 	 firstAuthor:蜂厨势力 	 firstTime:2019-03 	 content:【楼主的自述（不是文可跳）】楼楼是超炮s还没动画化的时候就喜欢上食蜂操祈了，记得那时候漫画刚开始进入大霸星祭，那时候我就很想专门为了食蜂开个同人文，可是构思了这么几年大框架一直觉得幼稚，现如今也从初中蹦到了大二的年纪，经历了些感情挫折，那么在又知道上条和食蜂发生的过往后，就更想对这个令人怜惜的角色给予救赎。 专业性方面敬请大家原谅，我不是资深的魔禁原作党，【在时间线的方面不打算按照原著穿插】以及能力 	 number:374 	 lastAuthor:蜂厨势力 	 lastTime:13:10 
title:这妹子是谁啊。。。。弹幕居然没有科普 	 firstAuthor:hzt20030608 	 firstTime:2-6 	 content:这妹子是谁啊。。。。弹幕居然没有科普 	 number:104 	 lastAuthor:撤军888 	 lastTime:13:08 
title:突发奇想百度了一下炮姐的“电磁炮”到底是个什么玩意儿，结果. 	 firstAuthor:花火夢... 	 firstTime:2-8 	 content:突发奇想百度了一下炮姐的“电磁炮”到底是个什么玩意儿，结果... 怪不得她的研究价值排在第三位，大招整个一战略级武器啊 	 number:68 	 lastAuthor:儒门·凤姿 	 lastTime:13:02 
title:这两周教主骨气都没露脸还能排3.5 	 firstAuthor:电磁科学 	 firstTime:10:30 	 content:这两周教主骨气都没露脸还能排3.5 	 number:3 	 lastAuthor:真正的蚡... 	 lastTime:12:55 
title:很少人注意到动画演到这里，其实：光子入学常盘台估计也就半个月 	 firstAuthor:我喜欢姐... 	 firstTime:2-8 	 content:很少人注意到动画演到这里，其实：光子入学常盘台估计也就半个月、反物理三人组认识的时间更短、黑子前不久才庆祝完和姐姐大人在一起一个月纪念日、泪爷和初春同样 但是潜意识觉得四人组已经认识好几年了 	 number:36 	 lastAuthor:方块589 	 lastTime:12:54 
title:不去抨击那些 无能狂怒的弹幕 反倒抨击起 那些热心肠的不得已 	 firstAuthor:小哀是傲... 	 firstTime:2-3 	 content:不去抨击那些 无能狂怒的弹幕 反倒抨击起 那些热心肠的不得已剧透的人 为什么呢 剧透是因为 只有真相才能平息无知的斗争 看来根本没人在乎真相 好好的一部番 就被 无能狂怒的弹幕玷污了 第一次发帖 如果造成不要影响 吧务帮忙删了就完事了 	 number:140 	 lastAuthor:yyhzlbyzl 	 lastTime:12:50 
title:盾娘的播放量为什么比超跑多啊？我去康康 	 firstAuthor:Npc 	 firstTime:2-2 	 content:盾娘的播放量为什么比超跑多啊？我去康康 	 number:102 	 lastAuthor:食蜂 	 lastTime:12:47 
title:在你们心目中第三季op1在所有6个op中排第几？ 	 firstAuthor:bjtc321 	 firstTime:2-10 	 content:个人觉得前2是only my railgun和sister's noise，这个排第三吧 	 number:16 	 lastAuthor:偶活活活 	 lastTime:12:46 
title:炮姐可以在非金属上站着吗？也就是说可以操作非金属 	 firstAuthor:一只嘤嘤... 	 firstTime:2-8 	 content:炮姐可以在非金属上站着吗？也就是说可以操作非金属 	 number:204 	 lastAuthor:暗櫻草 	 lastTime:12:37 
title:食蜂女王的控制能力也太强了吧 	 firstAuthor:多弗少主 	 firstTime:2-1 	 content:食蜂女王的控制能力也太强了吧 	 number:175 	 lastAuthor:黑化的夜斗 	 lastTime:12:35 
title:润子如果对上老七能坚持多长时间？ 	 firstAuthor:kazuto 	 firstTime:2-6 	 content: 	 number:398 	 lastAuthor:joysid 	 lastTime:12:35 
title:#黑琴##白井黑子#这两天翻了好多好多帖子知乎什么的，越看越 	 firstAuthor:牧雀 	 firstTime:2-12 	 content:#黑琴##白井黑子#这两天翻了好多好多帖子知乎什么的，越看越觉得粉非官方cp难受还是那种可能性低的cp。黑子真的是我看一眼就喜欢的女孩子，一开始是因为双马尾本来就是我的点加上新妈的特殊声线一下子就吸引到了我，后来补了漫画，ab越了解这个人物越喜欢，有正义感，有底线，日常的时候可爱，而正经起来又独当一面，有很多很多的点我无法形容。她对姐姐大人的爱不是盲从的，陪姐姐大人逛街时有风纪委员的任务她会尽快赶到去做任务… 	 number:12 	 lastAuthor:柯哀永... 	 lastTime:12:33 
title:刚入吧，马场biss 	 firstAuthor:天使的翅... 	 firstTime:2-12 	 content:刚入吧，马场biss 	 number:8 	 lastAuthor:创世之光... 	 lastTime:12:27 
